system,threshold,quality,quality_metric,accuracy,escalation_rate,baseline_share,transformer_share,cost_per_1000,cost_unit,cost_method,latency_ms,latency_p50_ms,latency_p95_ms,latency_sample_size,latency_escalation_rate,source,measured_at,evidence_status,dataset,hardware,sample_size,model_version,notes
cascade_t060,0.6,0.9177686504884555,f1_macro,0.9306540583136328,0.039401103230890466,0.9605988967691095,0.039401103230890466,4.490737121092913,runtime_seconds_per_1000,measured_batch_runtime_proxy,5.132965707133508,1.472077001380967,2.0921035002174904,256,0.02734375,EDU-ORCH-002,,measured-recovered,"Olist/Polarity; folds 1-8 train, 9 validation, 10 test",CPU (Kaggle; exact CPU model not recovered),3807,TF-IDF+MultinomialNB(alpha=1.0) -> goddiao/distilbert-base-multilingual-cased/pytorch/default/1,Recovered from measured Kaggle notebook output pasted in chat; measured_at not recovered.
cascade_t070,0.7,0.9247692844371598,f1_macro,0.9364328867874967,0.08247964276333071,0.9175203572366692,0.08247964276333071,8.970989622537944,runtime_seconds_per_1000,measured_batch_runtime_proxy,12.196015124928294,1.5264190005837008,128.80083800155262,256,0.08203125,EDU-ORCH-002,,measured-recovered,"Olist/Polarity; folds 1-8 train, 9 validation, 10 test",CPU (Kaggle; exact CPU model not recovered),3807,TF-IDF+MultinomialNB(alpha=1.0) -> goddiao/distilbert-base-multilingual-cased/pytorch/default/1,Recovered from measured Kaggle notebook output pasted in chat; measured_at not recovered.
cascade_t080,0.8,0.932982824685041,f1_macro,0.9432624113475178,0.14420803782505912,0.8557919621749409,0.14420803782505912,15.416498532440034,runtime_seconds_per_1000,measured_batch_runtime_proxy,22.277489777579262,1.5793290003784932,130.5100957506511,256,0.16015625,EDU-ORCH-002,,measured-recovered,"Olist/Polarity; folds 1-8 train, 9 validation, 10 test",CPU (Kaggle; exact CPU model not recovered),3807,TF-IDF+MultinomialNB(alpha=1.0) -> goddiao/distilbert-base-multilingual-cased/pytorch/default/1,Recovered from measured Kaggle notebook output pasted in chat; measured_at not recovered.
cascade_t090,0.9,0.9318409534356378,f1_macro,0.9422117152613606,0.2345679012345679,0.7654320987654322,0.2345679012345679,25.152366568689366,runtime_seconds_per_1000,measured_batch_runtime_proxy,34.014778421820324,1.8359944988333154,130.35446100002446,256,0.25390625,EDU-ORCH-002,,measured-recovered,"Olist/Polarity; folds 1-8 train, 9 validation, 10 test",CPU (Kaggle; exact CPU model not recovered),3807,TF-IDF+MultinomialNB(alpha=1.0) -> goddiao/distilbert-base-multilingual-cased/pytorch/default/1,Recovered from measured Kaggle notebook output pasted in chat; measured_at not recovered.
